Ino,State,flag,transaction,time elapsed,culmulative time elapsed
786509,4,7,1084598.6984815618,9.22e-07,3.125707136000001
786509,4,7,2433090.0243309,4.11e-07,3.1257075470000006
786509,4,7,369685.76709796675,2.705e-06,3.1257102520000006
786512,0,4,3480.294572132585,0.000287332,3.1259975840000007
786512,4,7,968992.2480620155,1.032e-06,3.125998616000001
786512,4,7,2439024.3902439023,4.1e-07,3.125999026000001
786512,4,7,402414.48692152917,2.485e-06,3.126001511000001
786512,7,1,45122.2813825467,2.2162e-05,3.126023673000001
786512,7,1,2624671.916010499,3.81e-07,3.126024054000001
786512,7,1,860585.1979345955,1.162e-06,3.1260252160000013
8388610,0,4,1185.0292879988529,0.000843861,3.126869077000001
8388610,4,4,225835.59168925023,4.428e-06,3.126873505000001
8388610,4,4,489236.79060665367,2.044e-06,3.126875549000001
8388610,4,4,1084598.6984815618,9.22e-07,3.126876471000001
8388610,4,4,400801.60320641287,2.495e-06,3.126878966000001
8388610,4,4,410846.34346754313,2.434e-06,3.126881400000001
8388610,4,4,825082.5082508251,1.212e-06,3.126882612000001
8388610,4,4,400801.60320641287,2.495e-06,3.126885107000001
8388610,4,4,639795.2655150353,1.563e-06,3.126886670000001
8388610,4,4,1108647.4501108648,9.02e-07,3.126887572000001
8388610,4,4,1028806.5843621399,9.72e-07,3.126888544000001
8388610,4,4,1109877.9134295227,9.01e-07,3.126889445000001
8388610,4,4,430107.5268817204,2.325e-06,3.126891770000001
8388610,4,4,1109877.9134295227,9.01e-07,3.126892671000001
8388610,4,4,874890.6386701663,1.143e-06,3.126893814000001
8388610,4,4,860585.1979345955,1.162e-06,3.1268949760000013
8388610,4,4,449640.2877697842,2.224e-06,3.1268972000000015
8388610,4,4,811688.3116883116,1.232e-06,3.1268984320000013
8388610,4,4,1133786.8480725624,8.82e-07,3.1268993140000014
8388610,4,4,818330.6055646482,1.222e-06,3.1269005360000013
8388610,4,4,470809.7928436912,2.124e-06,3.126902660000001
8388610,4,4,475285.1711026616,2.104e-06,3.126904764000001
8388610,4,4,1061571.1252653927,9.42e-07,3.126905706000001
786515,0,7,1779.6127562642369,0.00056192,3.127467626000001
786515,0,7,1050420.168067227,9.52e-07,3.127468578000001
786515,0,7,362976.4065335753,2.755e-06,3.1274713330000012
786515,7,4,36150.67601764153,2.7662e-05,3.127498995000001
786515,7,7,1919385.7965451058,5.21e-07,3.127499516000001
786515,7,7,3322259.1362126246,3.01e-07,3.1274998170000012
786515,7,7,527983.1045406547,1.894e-06,3.127501711000001
8388610,4,4,1726.0365712628718,0.000579362,3.128081073000001
786515,7,4,12184.126519969783,8.2074e-05,3.128163147000001
786515,7,1,68366.7190811513,1.4627e-05,3.128177774000001
786515,7,1,1385041.5512465374,7.22e-07,3.1281784960000008
786515,7,1,728862.9737609329,1.372e-06,3.1281798680000006
786515,7,7,225275.96305474205,4.439e-06,3.1281843070000006
786515,7,7,3030303.0303030303,3.3e-07,3.128184637000001
786515,7,7,631711.9393556538,1.583e-06,3.128186220000001
786516,0,4,15465.033559122823,6.4662e-05,3.128250882000001
786516,4,7,1039501.0395010394,9.62e-07,3.128251844000001
786516,4,7,3021148.0362537764,3.31e-07,3.128252175000001
786516,4,7,525486.0746190225,1.903e-06,3.1282540780000008
786516,7,1,76365.02481863306,1.3095e-05,3.1282671730000007
786516,7,1,2695417.7897574124,3.71e-07,3.1282675440000007
786516,7,1,846023.6886632825,1.182e-06,3.128268726000001
786516,7,1,700.4356009001999,0.001427683,3.129696409000001
786516,7,1,573723.4652897303,1.743e-06,3.129698152000001
786516,7,1,187265.91760299625,5.34e-06,3.129703492000001
786515,7,1,1780.8836388439215,0.000561519,3.130265011000001
786515,7,1,932835.8208955224,1.072e-06,3.130266083000001
786515,7,1,284333.23855558713,3.517e-06,3.130269600000001
786512,7,1,805.8991820123302,0.00124085,3.131510450000001
786512,7,1,907441.0163339383,1.102e-06,3.131511552000001
786512,7,1,184162.0626151013,5.43e-06,3.131516982000001
786508,7,1,27981.4203368963,3.5738e-05,3.1315527200000006
786508,7,1,2433090.0243309,4.11e-07,3.1315531310000004
786508,7,1,407497.9625101874,2.454e-06,3.1315555850000005
786519,0,7,4990.069761175261,0.000200398,3.1317559830000006
786519,0,7,1536098.3102918586,6.51e-07,3.1317566340000007
786519,0,7,631711.9393556538,1.583e-06,3.1317582170000007
786519,7,4,29599.81056121241,3.3784e-05,3.131792001000001
786519,7,7,1782531.1942959002,5.61e-07,3.1317925620000007
786519,7,7,3021148.0362537764,3.31e-07,3.1317928930000005
786519,7,7,509424.3504839531,1.963e-06,3.1317948560000004
786519,7,7,135427.9523293608,7.384e-06,3.1318022400000003
786519,7,7,2770083.1024930747,3.61e-07,3.1318026010000004
